"""price""","""area""","""bedrooms""","""bathrooms""","""stories""","""mainroad""","""guestroom""","""basement""","""hotwaterheating""","""airconditioning""","""parking""","""prefarea""","""furnishingstatus""","""price_per_sq"""
8680000,7155,3,2,1,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""no""","""unfurnished""",1213.1376659678547
3850000,7152,3,1,2,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""furnished""",538.3109619686801
5229000,7085,3,1,1,"""yes""","""yes""","""yes""","""no""","""no""",2,"""yes""","""semi-furnished""",738.0381086803105
5950000,7020,3,1,1,"""yes""","""no""","""yes""","""no""","""yes""",2,"""yes""","""semi-furnished""",847.5783475783476
5803000,7000,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",2,"""yes""","""semi-furnished""",829.0
4200000,7000,3,1,1,"""yes""","""no""","""no""","""no""","""no""",3,"""no""","""furnished""",600.0
4795000,7000,3,1,2,"""yes""","""no""","""yes""","""no""","""no""",0,"""no""","""unfurnished""",685.0
8400000,7000,3,1,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""semi-furnished""",1200.0
8080940,7000,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""furnished""",1154.42
3773000,6930,4,1,2,"""no""","""no""","""no""","""no""","""no""",1,"""no""","""furnished""",544.4444444444445
5523000,6900,3,1,1,"""yes""","""yes""","""yes""","""no""","""no""",0,"""yes""","""semi-furnished""",800.4347826086956
6020000,6900,3,2,1,"""yes""","""yes""","""yes""","""no""","""no""",0,"""yes""","""unfurnished""",872.463768115942
4830000,6862,3,1,2,"""yes""","""no""","""no""","""no""","""yes""",2,"""yes""","""furnished""",703.8764208685515
8120000,6840,5,1,2,"""yes""","""yes""","""yes""","""no""","""yes""",1,"""no""","""furnished""",1187.1345029239767
5425000,6825,3,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",0,"""yes""","""semi-furnished""",794.8717948717949
6020000,6800,2,1,1,"""yes""","""yes""","""yes""","""no""","""no""",2,"""no""","""furnished""",885.2941176470588
2730000,6800,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",401.47058823529414
3150000,6750,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",466.6666666666667
6419000,6750,2,1,1,"""yes""","""yes""","""yes""","""no""","""no""",2,"""yes""","""furnished""",950.9629629629629
4900000,6720,3,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",729.1666666666666
5390000,6710,3,2,2,"""yes""","""yes""","""yes""","""no""","""no""",1,"""yes""","""furnished""",803.2786885245902
6510000,6670,3,1,3,"""yes""","""no""","""yes""","""no""","""no""",0,"""yes""","""unfurnished""",976.0119940029984
5652500,6660,4,2,2,"""yes""","""yes""","""yes""","""no""","""no""",1,"""yes""","""semi-furnished""",848.7237237237238
4235000,6650,3,1,2,"""yes""","""yes""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",636.8421052631579
6090000,6615,4,2,2,"""yes""","""yes""","""no""","""yes""","""no""",1,"""no""","""semi-furnished""",920.6349206349206
2940000,6615,3,1,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",444.44444444444446
6293000,6600,3,2,3,"""yes""","""no""","""no""","""no""","""yes""",0,"""yes""","""unfurnished""",953.4848484848485
9100000,6600,4,2,2,"""yes""","""yes""","""yes""","""no""","""yes""",1,"""yes""","""unfurnished""",1378.7878787878788
6230000,6600,3,2,1,"""yes""","""no""","""yes""","""no""","""yes""",0,"""yes""","""unfurnished""",943.939393939394
5600000,6600,4,2,1,"""yes""","""no""","""yes""","""no""","""no""",0,"""yes""","""semi-furnished""",848.4848484848485
5460000,6600,4,2,2,"""yes""","""yes""","""yes""","""no""","""no""",0,"""yes""","""semi-furnished""",827.2727272727273
5040000,6600,3,1,1,"""yes""","""yes""","""yes""","""no""","""no""",0,"""yes""","""furnished""",763.6363636363636
6685000,6600,2,2,4,"""yes""","""no""","""yes""","""no""","""no""",0,"""yes""","""furnished""",1012.8787878787879
6090000,6600,3,1,1,"""yes""","""yes""","""yes""","""no""","""no""",2,"""yes""","""semi-furnished""",922.7272727272727
7490000,6600,3,1,4,"""yes""","""no""","""no""","""no""","""yes""",3,"""yes""","""furnished""",1134.8484848484848
7875000,6550,3,1,2,"""yes""","""no""","""yes""","""no""","""yes""",0,"""yes""","""furnished""",1202.2900763358778
9310000,6550,4,2,2,"""yes""","""no""","""no""","""no""","""yes""",1,"""yes""","""semi-furnished""",1421.3740458015268
5250000,6540,4,2,2,"""no""","""no""","""no""","""no""","""yes""",0,"""no""","""semi-furnished""",802.7522935779816
8540000,6540,4,2,2,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""yes""","""furnished""",1305.8103975535169
5950000,6540,3,1,1,"""yes""","""yes""","""yes""","""no""","""no""",2,"""yes""","""furnished""",909.7859327217126
5950000,6525,3,2,4,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""furnished""",911.8773946360153
6650000,6500,3,2,3,"""yes""","""no""","""no""","""no""","""yes""",0,"""yes""","""furnished""",1023.0769230769231
5880000,6500,3,2,3,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""unfurnished""",904.6153846153846
3990000,6480,3,1,2,"""no""","""no""","""no""","""no""","""yes""",1,"""no""","""semi-furnished""",615.7407407407408
7700000,6480,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""unfurnished""",1188.2716049382716
4340000,6450,4,1,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",672.8682170542636
5383000,6450,3,2,1,"""yes""","""yes""","""yes""","""yes""","""no""",0,"""no""","""unfurnished""",834.5736434108527
4753000,6440,2,1,1,"""yes""","""no""","""no""","""no""","""yes""",3,"""no""","""semi-furnished""",738.0434782608696
6125000,6420,3,1,3,"""yes""","""no""","""yes""","""no""","""no""",0,"""yes""","""unfurnished""",954.0498442367601
8855000,6420,3,2,2,"""yes""","""no""","""no""","""no""","""yes""",1,"""yes""","""semi-furnished""",1379.2834890965732
6650000,6420,3,2,3,"""yes""","""no""","""no""","""no""","""yes""",0,"""yes""","""furnished""",1035.8255451713396
5950000,6420,3,1,1,"""yes""","""no""","""yes""","""no""","""yes""",0,"""yes""","""furnished""",926.791277258567
6300000,6400,3,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",1,"""yes""","""semi-furnished""",984.375
4270000,6360,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""furnished""",671.3836477987421
4270000,6360,2,1,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",671.3836477987421
7035000,6360,4,2,3,"""yes""","""no""","""no""","""no""","""yes""",2,"""yes""","""furnished""",1106.132075471698
7840000,6360,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",0,"""yes""","""furnished""",1232.7044025157234
4473000,6360,2,1,1,"""yes""","""no""","""yes""","""no""","""yes""",1,"""no""","""furnished""",703.3018867924528
5600000,6360,3,1,3,"""yes""","""no""","""no""","""no""","""no""",0,"""yes""","""semi-furnished""",880.503144654088
5740000,6360,3,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""yes""","""furnished""",902.5157232704403
6195000,6350,3,2,3,"""yes""","""yes""","""no""","""no""","""yes""",0,"""no""","""furnished""",975.5905511811023
7420000,6325,3,1,4,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""unfurnished""",1173.1225296442688
4760000,6321,3,1,2,"""yes""","""no""","""yes""","""no""","""yes""",1,"""no""","""furnished""",753.0454042081949
4900000,6300,3,1,1,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""semi-furnished""",777.7777777777778
5950000,6254,4,2,1,"""yes""","""no""","""yes""","""no""","""no""",1,"""yes""","""semi-furnished""",951.3911096897986
7070000,6240,4,2,2,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""furnished""",1133.0128205128206
5460000,6210,4,1,4,"""yes""","""yes""","""no""","""no""","""yes""",0,"""no""","""furnished""",879.2270531400966
5460000,6100,3,1,3,"""yes""","""yes""","""no""","""no""","""yes""",0,"""yes""","""semi-furnished""",895.0819672131148
5530000,6100,3,2,1,"""yes""","""no""","""yes""","""no""","""no""",2,"""yes""","""furnished""",906.5573770491803
5110000,6100,3,1,1,"""yes""","""no""","""yes""","""no""","""yes""",0,"""yes""","""semi-furnished""",837.7049180327868
3290000,6060,3,1,1,"""yes""","""yes""","""yes""","""no""","""no""",0,"""no""","""furnished""",542.9042904290429
4123000,6060,2,1,1,"""yes""","""no""","""yes""","""no""","""no""",1,"""no""","""semi-furnished""",680.3630363036303
5243000,6050,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",0,"""yes""","""semi-furnished""",866.6115702479339
4830000,6040,3,1,1,"""yes""","""no""","""no""","""no""","""no""",2,"""yes""","""semi-furnished""",799.6688741721854
3710000,6020,3,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",616.2790697674419
5775000,6000,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""unfurnished""",962.5
6265000,6000,4,1,3,"""yes""","""yes""","""yes""","""no""","""no""",0,"""yes""","""unfurnished""",1044.1666666666667
9681000,6000,4,3,2,"""yes""","""yes""","""yes""","""yes""","""no""",2,"""no""","""semi-furnished""",1613.5
9100000,6000,4,1,2,"""yes""","""no""","""yes""","""no""","""no""",2,"""no""","""semi-furnished""",1516.6666666666667
4690000,6000,2,1,1,"""yes""","""no""","""yes""","""no""","""yes""",1,"""no""","""furnished""",781.6666666666666
7210000,6000,3,2,4,"""yes""","""yes""","""no""","""no""","""yes""",1,"""no""","""furnished""",1201.6666666666667
7560000,6000,4,2,4,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""furnished""",1260.0
8463000,6000,3,2,4,"""yes""","""yes""","""yes""","""no""","""yes""",0,"""yes""","""semi-furnished""",1410.5
7910000,6000,4,2,4,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""semi-furnished""",1318.3333333333333
7560000,6000,3,2,3,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""semi-furnished""",1260.0
2870000,6000,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",478.3333333333333
7525000,6000,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""furnished""",1254.1666666666667
7962500,6000,3,1,4,"""yes""","""yes""","""no""","""no""","""yes""",2,"""no""","""unfurnished""",1327.0833333333333
6580000,6000,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""semi-furnished""",1096.6666666666667
6755000,6000,4,2,4,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""unfurnished""",1125.8333333333333
6629000,6000,3,1,2,"""yes""","""no""","""no""","""yes""","""no""",1,"""yes""","""semi-furnished""",1104.8333333333333
6860000,6000,3,1,1,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""furnished""",1143.3333333333333
7350000,6000,4,2,4,"""yes""","""yes""","""no""","""no""","""yes""",1,"""no""","""furnished""",1225.0
7350000,6000,3,1,2,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""unfurnished""",1225.0
7350000,6000,3,2,2,"""yes""","""yes""","""no""","""no""","""yes""",1,"""no""","""semi-furnished""",1225.0
7140000,6000,3,2,2,"""yes""","""yes""","""no""","""no""","""no""",1,"""no""","""semi-furnished""",1190.0
7700000,6000,4,2,4,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""semi-furnished""",1283.3333333333333
6300000,6000,4,2,4,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""semi-furnished""",1050.0
6650000,6000,3,2,3,"""yes""","""yes""","""no""","""no""","""yes""",0,"""no""","""furnished""",1108.3333333333333
4130000,5985,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",0,"""no""","""semi-furnished""",690.0584795321637
8190000,5960,3,3,2,"""yes""","""yes""","""yes""","""no""","""no""",1,"""no""","""unfurnished""",1374.1610738255033
3640000,5960,3,1,2,"""yes""","""yes""","""yes""","""no""","""no""",0,"""no""","""unfurnished""",610.738255033557
4935000,5948,3,1,2,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""semi-furnished""",829.6906523201076
4060000,5900,4,2,2,"""no""","""no""","""yes""","""no""","""no""",1,"""no""","""unfurnished""",688.1355932203389
3500000,5900,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""furnished""",593.2203389830509
4480000,5885,2,1,1,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""unfurnished""",761.2574341546305
3290000,5880,3,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""unfurnished""",559.5238095238095
3500000,5880,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",595.2380952380952
2940000,5850,3,1,2,"""yes""","""no""","""yes""","""no""","""no""",1,"""no""","""unfurnished""",502.56410256410254
4200000,5850,2,1,1,"""yes""","""yes""","""yes""","""no""","""no""",2,"""no""","""semi-furnished""",717.9487179487179
3780000,5830,2,1,1,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""unfurnished""",648.3704974271012
5810000,5828,4,1,4,"""yes""","""yes""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",996.9114619080302
4200000,5800,3,1,1,"""yes""","""no""","""no""","""yes""","""no""",2,"""no""","""semi-furnished""",724.1379310344828
5740000,5800,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""unfurnished""",989.6551724137931
4900000,5800,2,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",0,"""no""","""semi-furnished""",844.8275862068965
9800000,5750,3,2,4,"""yes""","""yes""","""no""","""no""","""yes""",1,"""yes""","""unfurnished""",1704.3478260869565
5075000,5720,2,1,2,"""yes""","""no""","""no""","""no""","""yes""",0,"""yes""","""unfurnished""",887.2377622377622
6650000,5700,3,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""yes""","""furnished""",1166.6666666666667
4620000,5680,3,1,2,"""yes""","""yes""","""no""","""no""","""yes""",1,"""no""","""semi-furnished""",813.3802816901408
3675000,5640,2,1,1,"""no""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",651.5957446808511
4095000,5600,2,1,1,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""semi-furnished""",731.25
8400000,5500,4,2,2,"""yes""","""no""","""yes""","""no""","""yes""",1,"""yes""","""semi-furnished""",1527.2727272727273
6230000,5500,3,1,3,"""yes""","""no""","""no""","""no""","""no""",1,"""yes""","""unfurnished""",1132.7272727272727
5600000,5500,3,2,2,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""semi-furnished""",1018.1818181818181
4200000,5500,3,1,2,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""unfurnished""",763.6363636363636
3920000,5500,4,1,2,"""yes""","""yes""","""yes""","""no""","""no""",0,"""no""","""semi-furnished""",712.7272727272727
6195000,5500,3,2,1,"""yes""","""yes""","""yes""","""no""","""no""",2,"""yes""","""furnished""",1126.3636363636363
6195000,5500,3,2,4,"""yes""","""yes""","""no""","""no""","""yes""",1,"""no""","""semi-furnished""",1126.3636363636363
5873000,5500,3,1,3,"""yes""","""yes""","""no""","""no""","""yes""",1,"""no""","""furnished""",1067.8181818181818
5250000,5500,3,2,1,"""yes""","""no""","""yes""","""no""","""no""",0,"""no""","""semi-furnished""",954.5454545454545
3129000,5495,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",0,"""no""","""unfurnished""",569.4267515923567
3703000,5450,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""furnished""",679.4495412844037
6160000,5450,4,2,1,"""yes""","""no""","""yes""","""no""","""yes""",0,"""yes""","""semi-furnished""",1130.2752293577983
2870000,5400,4,1,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",531.4814814814815
5740000,5400,4,2,2,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""unfurnished""",1062.962962962963
4025000,5400,3,1,1,"""yes""","""no""","""no""","""no""","""no""",3,"""no""","""semi-furnished""",745.3703703703703
5565000,5400,5,1,2,"""yes""","""yes""","""yes""","""no""","""yes""",0,"""yes""","""furnished""",1030.5555555555557
4900000,5400,4,1,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",907.4074074074074
4690000,5400,2,1,2,"""yes""","""no""","""no""","""no""","""no""",0,"""yes""","""semi-furnished""",868.5185185185185
4550000,5360,3,1,2,"""yes""","""no""","""no""","""no""","""no""",2,"""yes""","""unfurnished""",848.8805970149253
4550000,5320,3,1,2,"""yes""","""yes""","""yes""","""no""","""no""",0,"""yes""","""semi-furnished""",855.2631578947369
3465000,5320,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""yes""","""unfurnished""",651.3157894736842
2233000,5300,3,1,1,"""no""","""no""","""no""","""no""","""yes""",0,"""yes""","""unfurnished""",421.3207547169811
3850000,5300,5,2,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",726.4150943396227
5250000,5300,4,2,1,"""yes""","""no""","""no""","""no""","""yes""",0,"""yes""","""unfurnished""",990.566037735849
2852500,5200,4,1,3,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",548.5576923076923
5810000,5200,3,1,3,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""semi-furnished""",1117.3076923076924
4690000,5170,3,1,4,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""semi-furnished""",907.1566731141199
7350000,5150,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""semi-furnished""",1427.1844660194174
5600000,5136,3,1,2,"""yes""","""yes""","""yes""","""no""","""yes""",0,"""yes""","""unfurnished""",1090.342679127726
3010000,5076,3,1,1,"""no""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",592.9866036249015
